"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"SAMSUNG","Samsung","8801643051549","Android","32 GB","MicroSD","16 MP","4.5","418","335.00","Pictures/71Poc5zJ4YL._AC_SL1500_.jpg"
"HONOR","Honor","FRD-L09","Android","32 GB"," ","12 MP","4.2","5.233","340.00","Pictures/71igTOeDJcL._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","759.09","Pictures/51Uy6vfz%2BhL._AC_SL1200_.jpg"
"SAMSUNG","Samsung Foreign Versions","GT-E1200ZKIDBT","Sonstiges","0.03 GB"," "," ","4.2","408","54.95","Pictures/81%2BrZykip%2BL._AC_SL1500_.jpg"
"Hipipooo","Jinwanyi company"," "," ","16 GB"," ","8 MP"," "," ","127.00","Pictures/61-1Sz7MXCL._AC_SL1319_.jpg"
"ORA","Ora","4430047573","Android","32 GB"," ","1 MP","3.7","16","32.11",""
"ONEPLUS","OnePlus","6921815605607","Android","128 GB"," ","16 MP","4.6","2.839","417.59","Pictures/71yH3C2muiL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A505FZKSPHE","Android","128 GB"," ","25 MP","4.3","3.350","279.00","Pictures/513N-CIauWL._AC_SL1200_.jpg"
"DOOGEE","DOOGEE","S88 PRO","Android 10","128 GB"," ","21 MP","4.1","168","269.99",""
"Black Shark","Black Shark","SKW-H0","Android","128 GB"," "," ","4.5","95"," ","Pictures/51kT7%2BP3k1L._AC_SL1100_.jpg"
"Leftwei","Leftwei"," "," ","16 GB"," "," "," "," ","33.59","Pictures/61r-V0ryt3L._AC_SL1001_.jpg"
"Nokia","Nokia","6303 classic","Propietario","64 MB"," ","3.2 MP","4.3","196","162.50",""
"Nokia","Nokia","A00028478","Android","32 GB"," "," ","4.1","370","54.62","Pictures/51lo%2BiA3ymL._AC_SL1000_.jpg"
"HONOR","Honor","BKL-L09","Android 8.0","128 GB"," ","20 Modificador desconocido","4.5","712","469.00","Pictures/71YHR3XscKL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.247"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Winwim","Shenzhen Winwim Technology Co., Ltd.","XH-851","Blackberry, Linux, Symbian, IOS, Android"," "," "," ","4.5","6","12.61",""
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","1.554.80","Pictures/516pZu%2BuHqL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","20338","Android","64 GB"," ","20 MP","4.5","58","229.00","Pictures/81AfQw40pmL._AC_SL1500_.jpg"
"Blackview","Blackview","0778992854474","Android 9.0 Pie","64 GB"," ","16 MP","3.9","126","251.77",""
"SAMSUNG","Samsung","SM-G975FZKDDBT","Android","8 GB"," ","16 MP","4.6","2.364","669.50","Pictures/71yeJ9VsZJL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
" "," ","412115"," ","8 GB"," "," ","3.9","113","44.99",""
"Wiko","Wiko"," ","Android 7.0"," "," "," ","3.8","76","74.46","Pictures/71TFUYI4Y-L._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 7.1","64 GB"," ","16 MP","3.4","7","129.99",""
