"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","318","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"PremiumSIM","PremiumSIM"," ","Windows, IOS, Android"," "," "," ","5.0","5","5.72","Pictures/618cxr4mmXL._AC_SL1000_.jpg"
"HUAWEI","Huawei","51092FHB","Android","128 GB"," ","24 MP","4.5","731","425.01","Pictures/51Si5iGQxhL._AC_SL1000_.jpg"
"Digi Chip","Digi Chip"," "," ","128 GB"," "," ","4.6","3","23.66",""
"Ulefone","Ulefone"," ","Android 10","64 GB"," ","16 MP","4.1","103","119.99","Pictures/71D1%2BrVkxLL._AC_SL1000_.jpg"
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.199","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"EL","EL","EL W9","Android","16 GB","MicroSD","8 MP","2.5","154","82.99","Pictures/71BoY-%2BLq1L._AC_SL1200_.jpg"
"DUODUOGO","DUODUOGO"," ","Android 9.0 3GB RAM+32GB ROM","32 GB"," "," ","3.6","4","75.92","Pictures/61wURyAhLdL._AC_SL1500_.jpg"
"Wiko","WIKO","Riff3PlusWhite","Linux","0.03 GB"," "," ","3.7","63","18.64","Pictures/61PhTwm%2BvJL._AC_SL1500_.jpg"
"Microsoft","Microsoft","N70 black"," "," "," ","2 MP","3.0","13"," ",""
"OUKITEL","Oukitel"," ","Android 6.0","32 GB"," ","16 MP","3.2","59","99.99",""
"Maxcom","MaxCom","MM715","Sonstiges"," "," ","1.3 MP","3.8","126","96.29","Pictures/81MyozP%2BgXL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," "," ","8 GB","MicroSD"," ","5.0","1"," ","Pictures/61sSZ5-ftJL._AC_SL1500_.jpg"
"HUAWEI","Huawei","51093QFW","Android","8 GB","MicroSD","40 MP","4.6","8.803","749.00","Pictures/61gKUhjnb0L._AC_SL1200_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Brondi","Brondi","10273850","Android"," "," ","1.3 MP","3.8","393","30.74","Pictures/51WBMT4knML._AC_SL1000_.jpg"
"Dilwe","Dilwe"," "," "," "," "," "," "," ","31.99","Pictures/51X2hy3%2BbHL._AC_SL1001_.jpg"
"Microsoft Mobile","Nokia","BT-GSM-NC2B","Propietario","61 MB"," ","3.2 MP","4.0","67","114.99",""
"Gigaset","Gigaset","GS815-Midnight Blue","Android","16 GB"," ","13 MP","3.9","117"," ","Pictures/61PuFHn2ZAL._AC_SL1200_.jpg"
"HUAZAI","HUAZAI"," "," ","512 GB"," ","24 MP"," "," ","138.00","Pictures/61-tU1yDw9L._AC_SL1000_.jpg"
"VHNBVHGKGHJ"," "," "," "," "," "," "," "," ","43.99","Pictures/61L0tT%2BsKdL._AC_SL1010_.jpg"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.359","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"HUAWEI","Huawei","51093RUD","Android","8 GB","MicroSD","40 MP","4.6","8.803","599.00","Pictures/61SR-6NhoML._AC_SL1200_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","GT-I9100RWRDBT","Android","16 GB"," ","8 MP","3.7","10","229.90",""
"OUKITEL","OUKITEL"," ","Android","16 GB"," ","13 MP","2.9","39","59.99",""
"Nokia","Nokia","6438409035608","S30+"," "," "," ","4.0","1","19.99","Pictures/51bHah6MuzL._AC_SL1100_.jpg"
"Xiaomi","XIAOMI","6941059648932","Android","32 GB"," ","13 MP","4.6","48","108.99","Pictures/61ZNP4gft0L._AC_SL1000_.jpg"
"Nokia","Nokia","002R8G9","Symbian 9.3","60 MB"," ","5 MP","4.1","165","194.00","Pictures/712VcnR7-PL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Armor X5","Android 10 4G","32 GB","MicroSD","13 MP","4.8","21"," ","Pictures/513bTKP4e8L._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE S95 PRO 8+256","Smartphone Robusto DOOGEE S95 Pro 8+256 Android 9.0","256 GB","MMCmicro","48 MP","4.1","12"," ","Pictures/71Am%2BTg5MNL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.359","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"Alcatel","Alcatel"," "," ","32 GB"," ","3.2 MP"," "," "," ","Pictures/61F4g883cfL._AC_SL1500_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Blackview","Blackview","A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.200","119.99","Pictures/51rKP57-dqL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"LONG-CZ","LONG-CZ","J9"," "," "," "," ","3.6","307","30.95","Pictures/51p4L9RSPRL._AC_SL1000_.jpg"
"Blackview","Blackview","BV9900 Pro","Android 9.0","128 GB","MicroSD","48 MP","4.2","189","529.99","Pictures/71r14lO4hUL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","SM-G986BZADEUA","Android","128 GB"," ","12 MP","4.7","81","1.021.88","Pictures/71yXyhrN2FL._AC_SL1500_.jpg"
"Evolveo","Evolveo","EP-600-XDL","Android","1 GB","MicroSDHC","1.3 MP","4.3","57","50.48","Pictures/71UedFK6iqL._AC_SL1490_.jpg"
"ZTE","ZTE","126591201001","Android","6 GB"," "," ","5.0","2","379.18","Pictures/81yY1ZKUtxL._AC_SL1500_.jpg"
"Oppo","Oppo","6944284649972","Android 9.0","4 GB"," ","48 MP","4.5","510"," ","Pictures/8197B8uCdgL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-G973FZGDATO","Android","8 GB"," ","12 MP","4.4","3.346","589.00","Pictures/71DW%2B76zxnL._AC_SL1500_.jpg"
"Blackview","Blackview"," "," ","16 GB"," ","13 MP","4.2","232"," ","Pictures/61qLukA0DUL._AC_SL1200_.jpg"
"SAMSUNG","Samsung","BT-GSM-SB2100","Propietario","7 MB"," ","1.3 MP","4.2","757","189.99","Pictures/71ojt5T%2BJ8L._AC_SL1500_.jpg"
"HUAWEI","Huawei Spain","51090PAX","Android","16 GB","MicroSD","13 MP","4.0","311","307.89","Pictures/71cjYfirwXL._AC_SL1500_.jpg"
"Nokia","Nokia","11CTLL01A07","Android","3 GB"," ","12 MP","3.9","215","189.97","Pictures/71lVPWr55QL._AC_SL1500_.jpg"
"Mi.","Mi."," "," ","64 GB"," "," ","4.3","4","249.00",""
"Xiaomi","Xiaomi"," "," ","32 GB"," ","13 MP","4.4","25"," ","Pictures/51roB4D9xjL._AC_SL1000_.jpg"
"Easyfone","Easyfone","Prime-A7","Nucleus OS"," ","MicroSD"," ","5.0","5","39.99","Pictures/61QATphJdVL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," ","Android 5.0","64 GB"," ","48 MP","4.2","62","172.00","Pictures/51U3aX5R8BL._AC_SL1000_.jpg"
"Opis Technology","Opis Technology GmbH"," ","Opis Technology Firmware"," "," "," ","4.3","168","129.00","Pictures/61ki4n6sYVL._AC_SL1280_.jpg"
"Blackview.","Blackview.","BV9500 YELLOW","Android 8.1 Oreo","64 GB"," ","16 MP","3.4","370","249.99",""
"Doro","Doro","360272","Android"," ","MicroSD"," ","4.2","231","41.19","Pictures/917P-wJO7EL._AC_SL1500_.jpg"
"L&F","L&F"," "," ","64 GB"," "," ","2.4","5","142.99","Pictures/610CbqGkRhL._AC_SL1001_.jpg"
"Xiaomi","Xiaomi","MI MIX 2","Android","64 GB"," ","12 MP","4.3","40","266.99","Pictures/61m5qAbAHML._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","MZB9413EU","Android","64 GB"," "," ","4.5","286","177.95","Pictures/615HyWFtsIL._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," ","8 Modificador desconocido","3.5","436","59.99","Pictures/61HTsNaMfJL._AC_SL1500_.jpg"
"OUKITEL","OUKITEL"," "," ","64 GB"," "," ","5.0","1"," ","Pictures/61rDkc4tsGL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","188"," ","Pictures/61aVsV8qxeL._AC_SL1500_.jpg"
"Nokia","Nokia","11PNXR01A01","Android","4 GB"," ","13 MP","4.4","86","389.99","Pictures/81ZsRnrxj-L._AC_SL1500_.jpg"
"Xiaomi","Xiaomi EU (Catalog and Report)","19490","Android","128 GB"," ","12 MP","4.4","346","439.00","Pictures/61vWOAenNoL._AC_SL1000_.jpg"
"ZengBuks","ZengBuks"," ","Android","512 MB"," ","2 MP"," "," "," ",""
"SAMSUNG","Samsung Foreign Versions","SM-G960FZKADCO","Android 8.0","64 GB"," ","12 MP","4.5","116","559.00","Pictures/71uI%2BnAzruL._AC_SL1500_.jpg"
"CUBOT","Cubot","CUBOT X30","Android 9.0","256 GB"," "," ","4.4","54","257.10","Pictures/613-J94VnSL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","8806088941950","Android","64 GB","MicroSD","12 MP","4.6","427","599.00","Pictures/71Hl3nsRH4L._AC_SL1500_.jpg"
"Jeija","Jeija"," "," ","32 GB"," "," ","3.0","8","24.90","Pictures/71kHldiKZYL._AC_SL1500_.jpg"
"Ukuu","Ukuu"," "," ","128 MB"," "," ","3.8","520"," ","Pictures/61NuoJr6NfL._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","304.48","Pictures/61ee%2B4a0%2BQL._AC_SL1000_.jpg"
"Microsoft","Microsoft","0054335","Symbian"," "," "," ","3.6","5","149.99",""
"GUPENG","GUPENG"," "," ","64 GB"," ","48 MP"," "," ","330.60","Pictures/612xJgcGEuL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8P"," ","16 GB"," ","8 MP","3.9","39","69.99","Pictures/61kJlnReuIL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," "," ","256 GB"," ","20 MP"," "," ","649.00","Pictures/51JmheJJehL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.239"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"PremiumSIM","PremiumSIM"," ","Windows, IOS, Android"," "," "," ","5.0","5","5.72","Pictures/618cxr4mmXL._AC_SL1000_.jpg"
"HUAWEI","Huawei","51092FHB","Android","128 GB"," ","24 MP","4.5","731"," ","Pictures/51Si5iGQxhL._AC_SL1000_.jpg"
"EL","EL","EL W9","Android","16 GB","MicroSD","8 MP","2.5","154","82.99","Pictures/71BoY-%2BLq1L._AC_SL1200_.jpg"
"DUODUOGO","DUODUOGO"," ","Android 9.0 3GB RAM+32GB ROM","32 GB"," "," ","3.6","4","75.92","Pictures/61wURyAhLdL._AC_SL1500_.jpg"
"Wiko","WIKO","Riff3PlusWhite","Linux","0.03 GB"," "," ","3.7","63","18.62","Pictures/61PhTwm%2BvJL._AC_SL1500_.jpg"
"Microsoft","Microsoft","N70 black"," "," "," ","2 MP","3.0","13","350.00",""
"HONOR","Honor","BKL-L09","Android 8.0","128 GB"," ","20 Modificador desconocido","4.5","712","469.00","Pictures/71YHR3XscKL._AC_SL1500_.jpg"
"Maxcom","MaxCom","MM715","Sonstiges"," "," ","1.3 MP","3.8","126","95.44","Pictures/81MyozP%2BgXL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," "," ","8 GB","MicroSD"," ","5.0","1"," ","Pictures/61sSZ5-ftJL._AC_SL1500_.jpg"
"HUAWEI","Huawei","51093QFW","Android","8 GB","MicroSD","40 MP","4.6","8.782","749.00","Pictures/61gKUhjnb0L._AC_SL1200_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","436"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Dilwe","Dilwe"," "," "," "," "," "," "," ","31.99","Pictures/51X2hy3%2BbHL._AC_SL1001_.jpg"
"Gigaset","Gigaset","GS815-Midnight Blue","Android","16 GB"," ","13 MP","3.9","117"," ","Pictures/61PuFHn2ZAL._AC_SL1200_.jpg"
"HUAZAI","HUAZAI"," "," ","512 GB"," ","24 MP"," "," ","138.00","Pictures/61-tU1yDw9L._AC_SL1000_.jpg"
"VHNBVHGKGHJ"," "," "," "," "," "," "," "," ","43.99","Pictures/61L0tT%2BsKdL._AC_SL1010_.jpg"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.357","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","6941059652076"," ","128 GB"," "," ","4.9","27","199.00","Pictures/61s%2BU7ZP6hL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","160"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"HUAWEI","Huawei","51093RUD","Android","8 GB","MicroSD","40 MP","4.6","8.782","599.00","Pictures/61SR-6NhoML._AC_SL1200_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.242"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Oppo","Oppo","SMTPHFX2PROOR","Android 10.0","12 GB"," ","48 MP","5.0","1","999.00","Pictures/715YpVPzVuL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","571"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"OUKITEL","OUKITEL"," ","Android","16 GB"," ","13 MP","2.9","39","59.99",""
"Nokia","Nokia","002R8G9","Symbian 9.3","60 MB"," ","5 MP","4.1","165","194.00","Pictures/712VcnR7-PL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.243"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"JLFDHR","JLFDHR"," ","IOS"," "," "," "," "," ","18.36","Pictures/51NRcJNh%2BXL._AC_SL1000_.jpg"
"Microsoft Mobile","Nokia","002M876","Symbian","9 MB"," "," ","3.7","142","165.00","Pictures/61c0bEzTbfL._AC_SL1206_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"My-Phone","EN52X","TLMPPABL","MYPHONE","32 GB"," ","2 MP","4.3","5","58.65","Pictures/51paYSV-SfL._AC_SL1106_.jpg"
"Ulefone","Ulefone","Ulefone Armor X5","Android 10 4G","32 GB","MicroSD","13 MP","4.8","21"," ","Pictures/513bTKP4e8L._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.243"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","572"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"LONG-CZ","LONG-CZ","J9"," "," "," "," ","3.6","306","30.95","Pictures/51p4L9RSPRL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","SM-G986BZADEUA","Android","128 GB"," ","12 MP","4.7","81","1.021.88","Pictures/71yXyhrN2FL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","Mi 9 Lite 128 GB Mavi","Windows","128 GB"," ","48 MP","4.5","85","388.49",""
"ZTE","ZTE","126591201001","Android","6 GB"," "," ","5.0","2","381.90","Pictures/81yY1ZKUtxL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","MZB7368EU","Android 9.0","32 GB"," ","12 MP","4.7","424","123.90","Pictures/51dMyLRdY2L._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," "," ","16 GB"," ","13 MP","4.2","80","119.00","Pictures/61MLP%2BCHGBL._AC_SL1000_.jpg"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.357","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.245"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","161"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"LG","LG","LMQ610EM.AIBRBL","Android","32 GB","MicroSD","13 MP","5.0","1","176.00","Pictures/61LeJrgkdrL._AC_SL1500_.jpg"
"Swisstone","Swisstone","BBM 625","Sonstiges"," "," ","0.3 MP","3.9","58","56.12","Pictures/81ReYlzCWmL._AC_SL1500_.jpg"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","315","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"HUAWEI","Hawuei","6901443213221","Android 8.0","32 GB"," ","13 MP","4.6","58","152.00",""
"DOOGEE","DOOGEE","DOOGEE S95 PRO 8+256 Super","Smartphone Robusto DOOGEE S95 Pro 8+256 Android 9.0","8 GB","MMCmicro","48 MP","4.1","12"," ","Pictures/71hHXHEi5tL._AC_SL1500_.jpg"
"Ulefone","Ulefone"," ","Android 10","16 GB"," ","8 MP","3.8","231","69.99",""
"MyPhone","MyPhone","HAMMER IRON2 BLK/YEL","Android 6.0","8 GB","MicroSDHC","5 MP","3.4","23","112.36","Pictures/51dOHfi66BL._AC_SL1200_.jpg"
"Dpofirs","Dpofirs"," "," ","128 GB"," "," "," "," ","122.89","Pictures/51IEgmriMAL._AC_SL1001_.jpg"
"Nokia","Nokia","A00017553","Nokia","32 GB"," ","2 MP","3.8","129","75.30","Pictures/714Gjtf8HLL._AC_SL1500_.jpg"
"Sony","Sony","1311-9415","Android","32 GB","MicroSD","0.1 MP","4.3","308","199.97","Pictures/81%2BodvRC4tL._AC_SL1500_.jpg"
"Telefunken","Telefunken","TTM00220WE","Not_machine_specific","1 GB"," ","0.3 MP","4.4","17","61.99",""
"Maxcom","MaxCom","MM720","Android"," "," "," ","3.0","12","41.79",""
"Xiaomi","Xiaomi"," ","Android","8 GB"," ","64 MP","4.5","688","500.00","Pictures/6186tOWoHoL._AC_SL1000_.jpg"
"HUAWEI","Huawei Spain","Huawei P9 Lite","Android","16 GB"," ","13 MP","3.8","1.904","149.00","Pictures/61V8FqrPIpL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Blackview","Blackview","0778992854474","Android 9.0 Pie","64 GB"," ","16 MP","3.9","126","251.77",""
"OLYMPIA","OLYMPIA","2217"," "," "," "," ","3.9","62","38.06","Pictures/71csxbIEoRL._AC_SL1500_.jpg"
"Alcatel","Alcatel","5028D-2AALWE12","Android","3 GB"," ","2 MP","4.3","37","124.99","Pictures/71qGeWAHUZL._AC_SL1500_.jpg"
"HUAWEI","Huawei","51091VXJ","Android","128 GB"," ","20 MP","4.3","29","742.45",""
"Nokia","Nokia","0057888","Symbian","3.5 MB"," "," ","3.8","17","220.00",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.245"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"ZengBuks","ZengBuks"," ","Android"," "," ","16 MP"," "," ","83.64",""
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","161"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Funker","Funker"," ","Android","32 GB","MicroSD"," ","4.0","269","19.00","Pictures/71klhGH9c%2BL._AC_SL1500_.jpg"
"UMIDIGI","UMIDIGI","UMIDIGI A7 Pro","Android 10","128 GB","MicroSD","16 MP","4.3","1.514"," ","Pictures/71rDBGNEd5L._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","190"," ","Pictures/61aVsV8qxeL._AC_SL1500_.jpg"
"Oppo","Oppo","SMTPHFX2PROBL","Android 10.0","12 GB"," ","48 MP","5.0","2","999.00","Pictures/912x9%2B57dhL._AC_SL1500_.jpg"
"STY-YL","STY-YL"," "," ","32 GB"," ","13 MP"," "," ","139.99",""
"Microsoft Mobile","Nokia","A00004276","S40 Asha","10 MB"," ","2 MP","4.0","108","147.90","Pictures/81lfj42JzvL._AC_SL1500_.jpg"
"Lenovo","Lenovo","V3BLACK","IOS"," "," "," ","3.7","252","299.99","Pictures/613jIQX5eBL._AC_SL1500_.jpg"
"HONOR","Honor","51092LBP","Android","32 GB"," ","13 MP","4.5","96","171.85","Pictures/71xToqHu6HL._AC_SL1500_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","439"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE S55","Android 8.0 IP68 Tel\xc3\xa9fono Movil Resistente","64 GB","MicroSD","13 MP","4.4","24"," ","Pictures/71ic09NbAjL._AC_SL1500_.jpg"
"Novel TT","Novel TT"," "," ","32 GB"," ","8 MP","3.4","32","75.99","Pictures/71OYKqg6hdL._AC_SL1500_.jpg"
"Saiet","SAIET"," "," ","32 GB"," "," ","5.0","1","33.00","Pictures/41eWVczjM-L._AC_SL1000_.jpg"
"Doro","Doro","7745","Linux","0.1 GB","MicroSD","3 MP","3.8","88"," ","Pictures/71aGyfd109L._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","472.66","Pictures/81Dwq%2BU-3fL._AC_SL1500_.jpg"
"Meizu","Meizu","M712H-3/32BL","Android","32 GB"," ","16.8 MP","4.3","10","199.00","Pictures/61nZwlwiL-L._AC_SL1000_.jpg"
"Jesy","Jesy"," ","Android","64 GB"," ","16 MP","4.0","2","329.99","Pictures/71OZpSEnrnL._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A202FZODDBT","Android","3 GB"," ","13 MP","4.5","494","169.98","Pictures/71UH54AkX8L._AC_SL1500_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","766.72","Pictures/61%2BbhKaugiL._AC_SL1200_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.248"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"AKDSteel","AKDSteel"," ","Android","32 GB"," ","16 MP"," "," ","43.97","Pictures/71GJdLOFq0L._AC_SL1500_.jpg"
"SAMSUNG","Samsung Foreign Versions","SM-N910FZKEDBT","Android 4.4","32 GB"," ","16 Modificador desconocido","4.0","633","480.00","Pictures/A1fEs3xq8NL._AC_SL1500_.jpg"
"BlackBerry","BlackBerry","BlackBerry Evolve","Android","4 GB"," ","13 MP","3.3","1.092","375.00",""
"Blackview","Blackview","6931548305712","Android","128 GB"," ","8 MP","3.8","47"," ","Pictures/61rImezsNyL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","SM-G973FZWDATO","Android","8 GB"," ","16 MP","4.4","3.359","714.61",""
"UMIDIGI","UMIDIGI","UMIDIGI Power3","Android","64 GB"," ","48 MP","3.9","209","199.99","Pictures/61oPJ9GBGKL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","190"," ","Pictures/61aVsV8qxeL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","190"," ","Pictures/61aVsV8qxeL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.250"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," ","Android 5.1","64 GB"," ","64 MP","4.6","1.425","199.00","Pictures/61DR%2B28nPfL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","X95 Blue","Android 10 GO","16 GB","MMCmicro","8 MP","4.2","165"," ","Pictures/71eyTNNU87L._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.251"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.251"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE S95 PRO 8+256","Smartphone Robusto DOOGEE S95 Pro 8+256 Android 9.0","256 GB","MMCmicro","48 MP","4.1","12"," ","Pictures/71Am%2BTg5MNL._AC_SL1500_.jpg"
"Apple","Apple Computer"," ","IOS","64 GB"," "," ","5.0","4","668.79","Pictures/61XqEVC8Z4L._AC_SL1500_.jpg"
"Lenovo","Lenovo","SE5668AQ1F1","Symbian"," "," "," ","3.7","252","350.00",""
"Microsoft Mobile","Nokia","6303","Symbian","32 MB"," ","3.2 MP","3.9","179","171.13","Pictures/81xuAG3jdaL._AC_SL1500_.jpg"
"Nokia","Nokia","002P122","Propietario"," "," "," ","3.8","189","95.00","Pictures/81s%2BkPkD64L._AC_SL1500_.jpg"
"ParadiseDecor","ParadiseDecor"," "," ","8 GB"," "," "," "," ","154.06",""
